 -3.682D-01 -9.155D-01
 -3.157D-01 -8.477D-01
  7.916D-01 -9.871D-01
  1.533D+00 -9.010D-01
 -1.517D+00 -8.792D-01
  2.407D-01 -1.006D+00
  3.370D-02 -2.371D+00
  1.328D-01 -1.114D+00
  1.075D-01 -1.277D+00
  7.733D-02 -1.350D+00
  1.233D-01 -1.120D+00
  6.061D-01 -3.354D-01
  1.399D-01 -9.472D-01
  8.948D-02 -8.079D-01
 -6.686D-01 -3.733D-01
  6.577D-02 -8.416D-01
  5.115D-02 -1.224D+00
  5.093D-02 -8.708D-01
  6.108D-02 -8.666D-01
 -6.409D-02  2.406D+00
  6.069D-02 -6.421D-01
  4.385D-02 -3.197D-01
  6.055D-02 -3.802D-01
  3.554D-02 -2.681D-01
  2.611D-01  6.224D-01
  2.971D-02 -1.748D-01
  3.282D-02 -5.079D-01
  2.286D-02 -1.180D+00
  3.265D-02 -1.139D-01
  2.155D-02  3.695D-01
  2.962D-02  2.033D-01
  1.811D-02  5.327D-01
  2.635D-02  6.425D-01
  1.532D-02  7.485D-01
  3.098D-02  4.480D+00
  2.038D-02  3.756D-01
  1.791D-02  3.055D-01
  9.678D-03  1.531D+00
  1.509D-02  9.920D-01
  7.977D-03  1.941D+00
  1.208D-02  1.693D+00
  6.481D-03  2.474D+00
  8.655D-03  3.129D+00
  7.223D-04  1.786D+01
 -2.968D-02 -6.379D+00
  3.187D-03  4.957D+00
  8.056D-03  1.611D+00
  2.214D-03  7.116D+00
  4.948D-03  3.816D+00
  1.382D-03  1.131D+01
  2.490D-03  8.786D+00
 -1.860D-05 -7.744D+02
 -6.559D-04 -4.015D+01
 -4.216D-04 -3.411D+01
  3.944D-02 -1.849D+00
 -1.024D-03 -1.354D+01
  1.891D-03  7.483D+00
 -1.514D-03 -8.820D+00
 -6.477D-04 -2.670D+01
 -1.952D-03 -6.543D+00
 -2.609D-03 -7.264D+00
 -2.329D-03 -5.223D+00
 -5.943D-03 -3.840D+00
 -2.654D-03 -4.348D+00
  5.822D-03  1.978D-01
 -2.943D-03 -3.713D+00
 -2.092D-03 -6.177D+00
 -3.209D-03 -3.255D+00
 -3.665D-03 -4.523D+00
 -3.212D-03 -3.452D+00
