 -4.816D-03  7.771D-01
 -3.193D-03  7.728D-01
 -5.090D-03  7.726D-01
 -1.657D-03  7.752D-01
 -4.250D-03  7.642D-01
 -4.984D-03  7.667D-01
 -1.238D-03  7.726D-01
 -2.095D-03  7.693D-01
 -4.987D-03  7.534D-01
 -4.783D-03  7.598D-01
 -8.866D-04  7.748D-01
 -1.692D-03  7.636D-01
 -2.321D-03  7.622D-01
 -5.555D-03  7.405D-01
 -4.558D-03  7.519D-01
 -7.146D-04  7.735D-01
 -1.184D-03  7.682D-01
 -2.024D-03  7.525D-01
 -2.442D-03  7.543D-01
 -6.007D-03  7.257D-01
 -4.335D-03  7.432D-01
 -5.722D-04  7.754D-01
 -9.867D-04  7.648D-01
 -1.372D-03  7.606D-01
 -2.291D-03  7.395D-01
 -2.500D-03  7.457D-01
 -6.368D-03  7.092D-01
 -4.122D-03  7.341D-01
 -4.829D-04  7.749D-01
 -7.824D-04  7.687D-01
 -1.187D-03  7.542D-01
 -1.501D-03  7.524D-01
 -2.516D-03  7.248D-01
 -2.519D-03  7.367D-01
 -6.656D-03  6.912D-01
 -3.921D-03  7.246D-01
 -4.084D-04  7.766D-01
 -6.721D-04  7.668D-01
 -9.270D-04  7.611D-01
 -1.350D-03  7.419D-01
 -1.590D-03  7.437D-01
 -2.706D-03  7.088D-01
 -2.512D-03  7.275D-01
 -6.881D-03  6.718D-01
 -3.732D-03  7.150D-01
 -3.553D-04  7.765D-01
 -5.664D-04  7.701D-01
 -8.123D-04  7.571D-01
 -1.034D-03  7.531D-01
 -1.487D-03  7.284D-01
 -1.651D-03  7.348D-01
 -2.868D-03  6.917D-01
 -2.486D-03  7.182D-01
 -7.052D-03  6.514D-01
 -3.557D-03  7.056D-01
 -3.103D-04  7.779D-01
 -4.978D-04  7.692D-01
 -6.795D-04  7.630D-01
 -9.266D-04  7.462D-01
 -1.116D-03  7.448D-01
 -1.606D-03  7.138D-01
 -1.690D-03  7.260D-01
 -3.004D-03  6.736D-01
 -2.449D-03  7.091D-01
 -7.176D-03  6.299D-01
 -3.393D-03  6.964D-01
 -2.757D-04  7.781D-01
 -4.345D-04  7.720D-01
 -6.045D-04  7.607D-01
 -7.672D-04  7.555D-01
 -1.023D-03  7.342D-01
 -1.178D-03  7.365D-01
 -1.709D-03  6.984D-01
 -1.713D-03  7.174D-01
 -3.118D-03  6.548D-01
 -2.403D-03  7.004D-01
 -7.258D-03  6.076D-01
 -3.241D-03  6.877D-01
 -2.460D-04  7.793D-01
 -3.887D-04  7.717D-01
 -5.257D-04  7.656D-01
 -6.917D-04  7.512D-01
 -8.370D-04  7.479D-01
 -1.107D-03  7.215D-01
 -1.225D-03  7.285D-01
 -1.798D-03  6.823D-01
 -1.723D-03  7.093D-01
 -3.211D-03  6.354D-01
 -2.352D-03  6.922D-01
 -7.304D-03  5.847D-01
 -3.099D-03  6.797D-01
 -2.220D-04  7.796D-01
 -3.469D-04  7.741D-01
 -4.740D-04  7.644D-01
 -5.982D-04  7.589D-01
 -7.658D-04  7.410D-01
 -8.932D-04  7.406D-01
 -1.180D-03  7.082D-01
 -1.260D-03  7.209D-01
