 1  34  22 4.752D-25   694.7   702.5   70
 3   5   2 4.004D-22   700.4   703.5   75
 6   5   2 4.522D-25   703.1   709.4   70
 1  22  15 1.021D-23   703.5   708.7   70
 3  12   6 7.413D-25   705.4   712.5   70
 1  25  16 8.508D-25   705.8   710.8   70
 3  15   8 1.010D-24   706.0   707.8   70
 4   5   2 6.069D-23   707.6   711.3   70
 2  15   8 1.747D-24   708.2   713.5   70
 4  15   8 1.830D-25   710.2   713.5   70
 2   5   2 5.631D-22   713.2   721.6   76
 1   5   2 7.878D-20   713.3   720.8   92
 4  12   6 1.157D-25   715.6   724.5   70
 1  15   8 2.028D-22   717.2   720.3   72
 1  32  19 3.371D-25   718.0   724.9   70
 3 808 804 7.435D-24   719.8   724.4   70
 3 908 904 7.435D-24   719.9   724.4   70
 1  35  22 2.993D-25   721.8   724.4   70
 2  22  14 6.947D-26   726.8   733.5   70
 4 808 804 1.119D-24   727.1   732.3   70
 4 908 904 1.119D-24   727.3   732.3   70
 1  12   6 1.251D-22   728.1   738.7   72
 2   8   4 2.721D-23   732.5   739.8   70
 1   8   4 3.104D-21   733.9   741.7   81
 1  22  14 6.428D-24   734.6   741.7   70
 3 914 907 2.787D-25   736.9   739.9   70
 3 814 807 2.787D-25   737.0   739.9   70
 2  12   6 9.348D-25   737.2   748.5   70
 4 914 907 5.709D-26   744.5   748.1   70
 4 814 807 5.709D-26   744.6   748.1   70
 1  19  11 5.674D-24   745.5   754.3   70
 1  29  17 2.097D-25   747.5   761.1   70
 1  34  21 2.197D-25   751.4   755.1   70
 1  14   7 1.135D-22   753.2   757.5   70
 2  21  13 5.023D-26   760.3   765.7   70
 1  30  18 2.402D-25   761.3   767.3   70
 1  21  13 4.155D-24   766.3   770.5   70
 2   8   3 6.360D-24   771.3   772.1   70
 1  33  20 1.514D-25   777.4   781.7   70
 4   8   3 4.886D-25   789.8   796.3   70
 3   8   3 9.731D-25   789.9   797.5   70
 1  19  10 1.736D-24   791.0   792.3   70
 1   8   3 3.593D-22   791.5   797.3   74
 2  14   6 1.567D-25   800.1   805.3   70
 1  14   6 7.219D-24   827.8   832.6   70
 1  22  12 3.107D-25   829.5   840.8   70
 1  21  11 2.435D-25   857.2   858.9   70
 1  15   6 2.051D-24   860.8   864.7   70
 1  16   8 4.532D-25   908.2   927.2   70
 1  22  11 3.407D-26   909.0   915.6   70
 1  16   6 8.333D-25  1051.7  1071.5   70
 1  10   2 7.931D-25  1879.2  1881.0   70
 1  17   3 3.540D-25  1896.1  1904.9   70
 2   6   1 9.347D-25  1896.5  1904.8   70
 3   6   1 9.764D-25  1901.7  1906.9   70
 1  18   4 4.649D-25  1905.5  1910.1   70
 4   6   1 1.642D-25  1916.7  1923.0   70
 1  11   2 1.022D-23  1917.6  1923.5   70
 1   6   1 1.797D-22  1932.5  1939.9   74
 1  19   5 3.826D-25  1951.2  1955.5   70
 2  12   2 1.435D-25  1988.6  1996.6   70
 1  12   2 6.684D-25  1995.4  2003.8   70
 2   8   1 2.283D-23  2037.1  2040.7   70
 3   8   1 7.001D-24  2049.3  2056.2   70
 2  14   2 2.342D-24  2051.5  2054.7   70
 1  19   3 4.226D-24  2054.0  2057.8   70
 4   8   1 1.288D-24  2062.1  2068.5   70
 2  22   5 1.481D-25  2063.7  2070.0   70
 2  21   4 2.865D-25  2064.1  2065.4   70
 3 814 802 4.048D-25  2065.9  2071.3   70
 3 914 902 4.048D-25  2065.9  2071.2   70
 1  30   6 5.013D-25  2074.4  2079.0   70
 1   8   1 2.057D-21  2076.9  2084.6   80
 1  14   2 1.953D-22  2093.3  2097.9   70
 3  15   2 4.579D-25  2094.7  2095.0   70
 2  15   2 1.077D-24  2095.5  2102.1   70
 1  21   4 1.357D-23  2107.1  2109.9   70
 1  22   5 8.469D-24  2112.5  2120.2   70
 1  33   7 8.211D-25  2119.0  2121.5   70
 1  34   8 5.797D-25  2120.5  2126.4   70
 1  32   6 2.479D-25  2122.8  2131.8   70
 1  15   2 1.079D-22  2127.5  2129.8   70
 2  22   4 1.069D-25  2127.9  2136.5   70
 1  35   8 3.823D-25  2147.6  2148.2   70
 1  22   4 4.471D-24  2159.9  2166.5   70
 1  34   7 1.734D-25  2189.6  2194.1   70
 1  22   3 1.648D-24  2215.3  2222.6   70
 2  47  13 5.393D-25  2222.6  2236.6   70
 2  44  11 2.694D-25  2224.5  2239.3   70
 5 924 904 2.328D-25  2229.1  2242.8   70
 5 824 804 2.328D-25  2229.2  2242.8   70
 2  36   6 2.003D-24  2231.4  2250.7   70
 2  38   8 9.933D-25  2231.7  2250.6   70
 2  37   7 8.588D-24  2234.0  2248.3   70
 5 916 902 1.821D-24  2237.9  2254.4   70
 5 816 802 1.821D-24  2238.3  2254.4   70
 6 916 902 3.389D-25  2245.2  2262.4   70
 2  24   4 1.110D-22  2245.4  2260.0   70
 6 816 802 3.390D-25  2245.7  2262.4   70
 2  16   2 8.543D-22  2254.1  2271.8   70
 1  57  20 1.859D-24  2272.3  2286.7   70
 1  54  17 3.685D-25  2273.1  2293.6   70
 1  58  19 1.672D-25  2273.2  2293.4   70
 1  59  21 5.592D-25  2273.7  2288.4   70
 1  56  18 1.513D-24  2276.1  2290.6   70
 3 938 908 1.741D-25  2277.4  2296.8   70
 3 838 808 1.741D-25  2278.5  2296.8   70
 3 837 807 1.302D-24  2281.0  2295.0   70
 3 937 907 1.302D-24  2281.0  2295.0   70
 3 936 906 3.583D-25  2281.7  2299.4   70
 3 836 806 3.582D-25  2282.2  2299.4   70
 1  62  24 2.198D-25  2284.3  2299.2   70
 1  47  13 3.631D-23  2284.5  2299.2   70
 7  16   2 3.112D-25  2285.9  2301.8   70
 1  49  14 8.501D-24  2286.2  2301.0   70
 1  44  11 2.019D-23  2288.1  2302.9   70
 3 824 804 1.796D-23  2293.1  2307.4   70
 3 924 904 1.796D-23  2293.3  2307.4   70
 1  38   8 8.005D-23  2294.0  2313.8   70
 1  51  16 1.796D-24  2294.1  2311.7   70
 1  36   6 1.627D-22  2296.0  2315.2   70
 1  37   7 6.306D-22  2296.8  2311.6   70
 4 824 804 3.074D-24  2300.5  2315.1   70
 4 924 904 3.074D-24  2300.5  2315.1   70
 3 916 902 1.525D-22  2302.7  2319.7   70
 3 816 802 1.525D-22  2303.2  2319.7   70
 1  24   4 8.672D-21  2309.1  2324.1   70
 4 916 902 2.684D-23  2310.2  2327.6   70
 4 816 802 2.683D-23  2310.7  2327.6   70
 1  16   2 7.796D-20  2315.2  2336.6   77
 1  17   1 1.235D-25  3181.5  3191.0   70
 1  29   2 4.181D-25  3266.1  3275.2   70
 1  19   1 6.072D-24  3339.4  3344.0   70
 1  30   2 2.693D-25  3340.5  3344.3   70
 1  32   2 9.186D-26  3389.5  3396.9   70
 2  44   4 8.107D-25  3461.5  3473.7   70
 1  66  13 3.730D-25  3491.7  3504.9   70
 1  22   1 6.177D-24  3500.7  3508.7   70
 3 844 804 2.269D-25  3501.2  3511.4   70
 3 944 904 2.269D-25  3501.3  3511.4   70
 1  65  11 3.953D-25  3503.4  3518.6   70
 1  56   7 6.547D-24  3514.6  3528.0   70
 3 936 902 2.010D-24  3521.4  3538.8   70
 3 836 802 2.010D-24  3521.9  3538.8   70
 1  34   2 5.503D-25  3530.0  3535.0   70
 1  58   8 1.073D-24  3534.1  3555.9   70
 1  44   4 9.424D-23  3539.2  3552.8   70
 4 936 902 3.607D-25  3541.2  3558.7   70
 4 836 802 3.607D-25  3541.8  3558.7   70
 1  35   2 2.662D-25  3557.4  3558.0   70
 1  36   2 8.072D-22  3562.8  3580.3   70
 2  38   2 1.727D-23  3619.0  3639.2   70
 2  49   4 2.165D-24  3625.2  3641.5   70
 2  59   7 1.676D-25  3625.6  3641.6   70
 3 938 902 2.200D-24  3667.2  3683.8   70
 3 838 802 2.200D-24  3667.7  3683.8   70
 3 849 804 2.757D-25  3673.6  3687.5   70
 3 949 904 2.757D-25  3674.0  3687.5   70
 1  58   6 3.244D-24  3677.6  3700.3   70
 4 938 902 4.163D-25  3684.2  3702.1   70
 4 838 802 4.163D-25  3684.7  3702.1   70
 1  70  11 3.953D-25  3686.3  3703.5   70
 1  60   8 2.547D-24  3694.4  3713.7   70
 1  74  14 2.867D-25  3699.2  3713.8   70
 1  38   2 1.328D-21  3704.2  3723.2   70
