  3.683D+00 -7.861D-01
  1.840D+00 -6.586D-01
  1.040D+00 -4.765D-01
  6.174D-01 -2.083D-01
  3.668D-01  2.150D-01
  2.070D-01  9.769D-01
  9.966D-02  2.780D+00
  2.494D-02  1.291D+01
 -2.849D-02 -1.219D+01
 -6.729D-02 -5.351D+00
 -9.581D-02 -3.798D+00
 -1.168D-01 -3.097D+00
 -1.322D-01 -2.688D+00
 -1.434D-01 -2.416D+00
 -1.514D-01 -2.217D+00
 -1.568D-01 -2.064D+00
 -1.603D-01 -1.941D+00
 -1.622D-01 -1.840D+00
 -1.630D-01 -1.754D+00
 -1.627D-01 -1.681D+00
 -1.617D-01 -1.617D+00
 -1.600D-01 -1.562D+00
 -1.579D-01 -1.513D+00
 -1.555D-01 -1.469D+00
 -1.528D-01 -1.431D+00
 -1.499D-01 -1.397D+00
 -1.468D-01 -1.366D+00
 -1.437D-01 -1.339D+00
 -1.405D-01 -1.315D+00
 -1.372D-01 -1.294D+00
 -1.340D-01 -1.275D+00
 -1.308D-01 -1.258D+00
 -1.277D-01 -1.242D+00
 -1.246D-01 -1.229D+00
 -1.215D-01 -1.216D+00
 -1.186D-01 -1.205D+00
 -1.157D-01 -1.195D+00
 -1.128D-01 -1.186D+00
 -1.101D-01 -1.178D+00
 -1.074D-01 -1.170D+00
 -1.049D-01 -1.162D+00
 -1.024D-01 -1.156D+00
 -9.997D-02 -1.149D+00
 -9.763D-02 -1.143D+00
 -9.538D-02 -1.136D+00
 -9.319D-02 -1.130D+00
 -9.109D-02 -1.124D+00
 -8.905D-02 -1.118D+00
 -8.709D-02 -1.111D+00
 -8.518D-02 -1.105D+00
 -8.336D-02 -1.098D+00
 -8.159D-02 -1.090D+00
 -7.990D-02 -1.082D+00
 -7.826D-02 -1.073D+00
 -7.672D-02 -1.063D+00
 -7.523D-02 -1.052D+00
 -7.387D-02 -1.039D+00
 -7.257D-02 -1.024D+00
 -7.149D-02 -1.004D+00
 -7.051D-02 -9.815D-01
 -7.002D-02 -9.466D-01
 -6.973D-02 -9.100D-01
 -7.098D-02 -8.379D-01
 -7.278D-02 -7.761D-01
 -8.321D-02 -5.835D-01
 -9.846D-02 -5.192D-01
