  6.498D+00 -9.663D-01
 -8.229D+00 -8.335D-01
 -5.283D-02  1.198D+01
 -5.339D+00 -7.621D-01
  1.865D+00 -6.542D-01
 -1.245D+00 -1.381D-01
  2.640D-01 -2.199D+00
 -1.019D+00 -2.781D-04
  4.893D-01 -7.079D-01
  2.564D-01 -4.445D+00
  6.713D-01  5.265D-02
 -7.460D-02  9.871D+00
 -4.836D+00  1.430D+00
 -6.736D-01  1.070D-01
  2.205D-01 -8.116D-01
  2.831D-01 -3.111D+00
  1.231D-01 -2.354D+00
  1.794D-01 -3.839D+00
  1.537D-01 -1.077D+00
  5.532D-01 -1.732D+00
  1.357D-01 -1.133D+00
  3.382D-01 -2.001D+00
  1.230D-01 -1.126D+00
  1.723D-01 -2.620D+00
  1.125D-01 -1.103D+00
  4.167D-01 -1.509D+00
  1.035D-01 -1.075D+00
  3.338D-01 -1.504D+00
  9.559D-02 -1.044D+00
 -3.320D-01 -5.432D-01
  8.851D-02 -1.014D+00
  3.727D-01 -1.259D+00
  8.214D-02 -9.863D-01
  3.148D-01 -1.232D+00
  7.638D-02 -9.609D-01
  1.809D+01 -9.746D-01
  7.115D-02 -9.383D-01
  3.454D-01 -1.107D+00
  6.639D-02 -9.182D-01
  3.033D-01 -1.086D+00
  6.207D-02 -9.006D-01
  1.715D-01 -1.125D+00
  5.813D-02 -8.849D-01
  3.391D-01 -1.027D+00
  5.453D-02 -8.709D-01
  3.035D-01 -1.019D+00
  5.125D-02 -8.581D-01
  2.762D-01 -1.014D+00
  4.825D-02 -8.462D-01
  1.649D+00 -9.602D-01
  4.550D-02 -8.348D-01
  3.244D-01 -1.000D+00
  4.298D-02 -8.236D-01
  3.083D-01 -1.008D+00
  4.067D-02 -8.121D-01
  3.021D-01 -1.021D+00
  3.855D-02 -7.997D-01
  2.927D-01 -1.043D+00
  3.661D-02 -7.855D-01
  8.062D-02 -1.479D+00
  3.487D-02 -7.676D-01
  3.968D-01 -1.045D+00
  3.337D-02 -7.415D-01
  4.142D-01 -1.025D+00
  3.231D-02 -6.961D-01
  5.237D-01 -8.253D-01
  3.244D-02 -6.004D-01
  1.269D+00 -1.660D-01
  3.865D-02 -3.492D-01
