 -1.813D-03  7.906D-01
 -2.295D-03  7.810D-01
 -1.773D-03  7.824D-01
 -3.735D-04  7.947D-01
 -3.770D-03  7.695D-01
 -1.672D-03  7.723D-01
 -6.071D-04  7.689D-01
 -5.373D-04  7.702D-01
 -4.922D-03  7.573D-01
 -1.558D-03  7.593D-01
 -1.411D-04  7.971D-01
 -1.146D-03  7.451D-01
 -6.405D-04  7.498D-01
 -5.812D-03  7.429D-01
 -1.448D-03  7.429D-01
 -2.541D-04  7.479D-01
 -2.340D-04  7.493D-01
 -1.643D-03  7.244D-01
 -6.975D-04  7.279D-01
 -6.500D-03  7.262D-01
 -1.345D-03  7.230D-01
 -6.954D-05  7.987D-01
 -5.128D-04  7.082D-01
 -3.106D-04  7.159D-01
 -2.074D-03  7.025D-01
 -7.236D-04  7.033D-01
 -7.028D-03  7.070D-01
 -1.250D-03  6.994D-01
 -1.312D-04  7.190D-01
 -1.229D-04  7.205D-01
 -7.722D-04  6.776D-01
 -3.670D-04  6.838D-01
 -2.439D-03  6.784D-01
 -7.292D-04  6.752D-01
 -7.430D-03  6.856D-01
 -1.163D-03  6.718D-01
 -3.986D-05  7.998D-01
 -2.742D-04  6.588D-01
 -1.728D-04  6.710D-01
 -1.012D-03  6.471D-01
 -4.055D-04  6.498D-01
 -2.742D-03  6.521D-01
 -7.213D-04  6.433D-01
 -7.729D-03  6.618D-01
 -1.082D-03  6.401D-01
 -7.642D-05  6.827D-01
 -7.224D-05  6.842D-01
 -4.252D-04  6.165D-01
 -2.141D-04  6.267D-01
 -1.225D-03  6.150D-01
 -4.295D-04  6.125D-01
 -2.991D-03  6.233D-01
 -7.044D-04  6.071D-01
 -7.942D-03  6.359D-01
 -1.007D-03  6.038D-01
 -2.519D-05  8.004D-01
 -1.625D-04  5.964D-01
 -1.049D-04  6.148D-01
 -5.704D-04  5.762D-01
 -2.460D-04  5.817D-01
 -1.410D-03  5.806D-01
 -4.421D-04  5.710D-01
 -3.191D-03  5.922D-01
 -6.815D-04  5.662D-01
 -8.084D-03  6.079D-01
 -9.379D-04  5.625D-01
 -4.816D-05  6.394D-01
 -4.577D-05  6.410D-01
 -2.566D-04  5.397D-01
 -1.338D-04  5.557D-01
 -7.035D-04  5.346D-01
 -2.690D-04  5.335D-01
 -1.567D-03  5.437D-01
 -4.459D-04  5.248D-01
 -3.347D-03  5.588D-01
 -6.545D-04  5.202D-01
 -8.164D-03  5.779D-01
 -8.728D-04  5.157D-01
 -1.704D-05  8.007D-01
 -1.029D-04  5.201D-01
 -6.755D-05  5.468D-01
 -3.494D-04  4.875D-01
 -1.576D-04  4.974D-01
 -8.216D-04  4.908D-01
 -2.843D-04  4.808D-01
 -1.697D-03  5.042D-01
 -4.429D-04  4.731D-01
 -3.465D-03  5.230D-01
 -6.249D-04  4.682D-01
 -8.192D-03  5.460D-01
 -8.115D-04  4.627D-01
 -3.205D-05  5.894D-01
