  Data: Real and imaginary indices of refraction for water at 27 C
  between 10 and 5000 cm-1.

  Reference: H. D. Downing and D. Williams, Optical constants of water
  in the infrared, J. Geophys. Res., vol. 80, pgs. 1656-1661, 1975.

  Format: wavenumber (cm-1), wavelength (microns), real and imaginary
  indices of refraction of water at 27 C.
  420 values   2x,f5.0,2x,f8.3,4x,f5.3,2x,f8.6


  cm-1   microns     real   imaginary
  1820.     5.495    1.291   .011500
  1830.     5.464    1.294   .011000
  1840.     5.435    1.297   .010700
  1850.     5.405    1.299   .010400
  1860.     5.376    1.302   .010200
  1870.     5.348    1.304   .010000
  1880.     5.319    1.306   .009950
  1890.     5.291    1.308   .009900
  1900.     5.263    1.310   .009930
  1910.     5.236    1.311   .010000
  1920.     5.208    1.313   .010100
  1930.     5.181    1.314   .010300
  1940.     5.155    1.316   .010500
  1950.     5.128    1.317   .010800
  1960.     5.102    1.318   .011000
  1970.     5.076    1.318   .011500
  1980.     5.051    1.319   .011800
  1990.     5.025    1.320   .012200
  2000.     5.000    1.321   .012600
  2010.     4.975    1.322   .012900
  2020.     4.950    1.322   .013300
  2030.     4.926    1.323   .013700
  2040.     4.902    1.324   .014000
  2050.     4.878    1.324   .014300
  2060.     4.854    1.325   .014600
  2070.     4.831    1.325   .014800
  2080.     4.808    1.325   .015100
  2090.     4.785    1.325   .015300
  2100.     4.762    1.325   .015500
  2110.     4.739    1.325   .015700
  2120.     4.717    1.326   .015700
  2130.     4.695    1.326   .015700
  2140.     4.673    1.326   .015600
  2150.     4.651    1.327   .015400
  2160.     4.630    1.327   .015200
  2170.     4.608    1.327   .014900
  2180.     4.587    1.327   .014500
  2190.     4.566    1.327   .014000
  2200.     4.545    1.328   .013600
  2210.     4.525    1.328   .013100
  2220.     4.505    1.329   .012600
  2230.     4.484    1.329   .012200
  2240.     4.464    1.329   .011700
  2250.     4.444    1.330   .011200
  2260.     4.425    1.330   .010800
  2270.     4.405    1.330   .010400
  2280.     4.386    1.331   .010000
  2290.     4.367    1.332   .009660
  2300.     4.348    1.332   .009270
  2310.     4.329    1.333   .008960
  2320.     4.310    1.334   .008640
  2330.     4.292    1.334   .008330
  2340.     4.274    1.335   .008060
  2350.     4.255    1.337   .007790
  2360.     4.237    1.337   .007490
  2370.     4.219    1.338   .007220
  2380.     4.202    1.340   .006960
